,data,estado,coduf,casosAcumulado,casosNovos
206,2020-02-25,RO,11,0,0
207,2020-02-26,RO,11,0,0
208,2020-02-27,RO,11,0,0
209,2020-02-28,RO,11,0,0
210,2020-02-29,RO,11,0,0
211,2020-03-01,RO,11,0,0
212,2020-03-02,RO,11,0,0
213,2020-03-03,RO,11,0,0
214,2020-03-04,RO,11,0,0
215,2020-03-05,RO,11,0,0
216,2020-03-06,RO,11,0,0
217,2020-03-07,RO,11,0,0
218,2020-03-08,RO,11,0,0
219,2020-03-09,RO,11,0,0
220,2020-03-10,RO,11,0,0
221,2020-03-11,RO,11,0,0
222,2020-03-12,RO,11,0,0
223,2020-03-13,RO,11,0,0
224,2020-03-14,RO,11,0,0
225,2020-03-15,RO,11,0,0
226,2020-03-16,RO,11,0,0
227,2020-03-17,RO,11,0,0
228,2020-03-18,RO,11,0,0
229,2020-03-19,RO,11,0,0
230,2020-03-20,RO,11,1,1
231,2020-03-21,RO,11,1,0
232,2020-03-22,RO,11,3,2
233,2020-03-23,RO,11,3,0
234,2020-03-24,RO,11,3,0
235,2020-03-25,RO,11,5,2
236,2020-03-26,RO,11,5,0
237,2020-03-27,RO,11,6,1
238,2020-03-28,RO,11,6,0
239,2020-03-29,RO,11,6,0
240,2020-03-30,RO,11,6,0
241,2020-03-31,RO,11,8,2
242,2020-04-01,RO,11,9,1
243,2020-04-02,RO,11,10,1
244,2020-04-03,RO,11,10,0
245,2020-04-04,RO,11,11,1
246,2020-04-05,RO,11,12,1
247,2020-04-06,RO,11,14,2
248,2020-04-07,RO,11,18,4
249,2020-04-08,RO,11,18,0
250,2020-04-09,RO,11,28,10
251,2020-04-10,RO,11,32,4
252,2020-04-11,RO,11,33,1
253,2020-04-12,RO,11,35,2
254,2020-04-13,RO,11,42,7
255,2020-04-14,RO,11,64,22
256,2020-04-15,RO,11,69,5
257,2020-04-16,RO,11,76,7
258,2020-04-17,RO,11,92,16
259,2020-04-18,RO,11,110,18
260,2020-04-19,RO,11,128,18
261,2020-04-20,RO,11,160,32
262,2020-04-21,RO,11,199,39
263,2020-04-22,RO,11,223,24
264,2020-04-23,RO,11,250,27
265,2020-04-24,RO,11,290,40
266,2020-04-25,RO,11,328,38
267,2020-04-26,RO,11,364,36
268,2020-04-27,RO,11,393,29
269,2020-04-28,RO,11,413,20
270,2020-04-29,RO,11,433,20
271,2020-04-30,RO,11,502,69
272,2020-05-01,RO,11,585,83
273,2020-05-02,RO,11,653,68
274,2020-05-03,RO,11,705,52
275,2020-05-04,RO,11,756,51
276,2020-05-05,RO,11,861,105
277,2020-05-06,RO,11,943,82
278,2020-05-07,RO,11,1098,155
279,2020-05-08,RO,11,1222,124
280,2020-05-09,RO,11,1263,41
281,2020-05-10,RO,11,1302,39
282,2020-05-11,RO,11,1396,94
283,2020-05-12,RO,11,1460,64
284,2020-05-13,RO,11,1612,152
285,2020-05-14,RO,11,1686,74
286,2020-05-15,RO,11,1789,103
287,2020-05-16,RO,11,1919,130
288,2020-05-17,RO,11,1963,44
289,2020-05-18,RO,11,2043,80
290,2020-05-19,RO,11,2257,214
291,2020-05-20,RO,11,2499,242
292,2020-05-21,RO,11,2659,160
293,2020-05-22,RO,11,2774,115
294,2020-05-23,RO,11,3109,335
295,2020-05-24,RO,11,3201,92
296,2020-05-25,RO,11,3268,67
297,2020-05-26,RO,11,3493,225
298,2020-05-27,RO,11,3862,369
299,2020-05-28,RO,11,4252,390
300,2020-05-29,RO,11,4502,250
301,2020-05-30,RO,11,4743,241
302,2020-05-31,RO,11,4942,199
303,2020-06-01,RO,11,5172,230
304,2020-06-02,RO,11,5477,305
305,2020-06-03,RO,11,5713,236
306,2020-06-04,RO,11,6459,746
307,2020-06-05,RO,11,6862,403
308,2020-06-06,RO,11,7700,838
309,2020-06-07,RO,11,8110,410
310,2020-06-08,RO,11,8626,516
311,2020-06-09,RO,11,9220,594
312,2020-06-10,RO,11,9850,630
313,2020-06-11,RO,11,10547,697
314,2020-06-12,RO,11,11224,677
315,2020-06-13,RO,11,11710,486
316,2020-06-14,RO,11,11865,155
317,2020-06-15,RO,11,12180,315
318,2020-06-16,RO,11,13010,830
319,2020-06-17,RO,11,13567,557
320,2020-06-18,RO,11,13804,237
321,2020-06-19,RO,11,14353,549
322,2020-06-20,RO,11,14952,599
323,2020-06-21,RO,11,15181,229
324,2020-06-22,RO,11,15827,646
325,2020-06-23,RO,11,16498,671
326,2020-06-24,RO,11,17424,926
327,2020-06-25,RO,11,18173,749
328,2020-06-26,RO,11,19271,1098
