TP_ESCOLA,TP_ENSINO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_STATUS_REDACAO,NU_NOTA_REDACAO
1,1.0,MA,23.0,F,0.0,3,521.0,568.7,513.1,480.3,1.0,280.0
1,1.0,PB,23.0,F,0.0,1,461.8,564.0,466.8,538.8,1.0,580.0
1,1.0,PI,39.0,M,1.0,3,499.3,663.2,605.2,733.8,1.0,680.0
2,1.0,CE,19.0,M,0.0,3,411.8,429.8,445.2,459.0,1.0,340.0
1,1.0,MT,25.0,F,0.0,3,469.4,650.2,606.6,525.4,1.0,740.0
1,1.0,TO,18.0,F,0.0,2,467.4,640.5,516.7,642.3,1.0,640.0
1,1.0,SP,23.0,M,0.0,3,625.5,652.2,616.3,622.0,1.0,840.0
2,1.0,CE,18.0,M,0.0,3,478.5,513.3,564.7,514.9,1.0,580.0
1,1.0,MG,21.0,F,0.0,1,521.8,598.9,584.6,530.4,1.0,580.0
1,1.0,DF,20.0,M,0.0,1,397.7,612.0,455.0,503.3,1.0,360.0
1,1.0,SP,27.0,F,0.0,3,501.5,540.6,531.5,595.3,1.0,380.0
1,1.0,RN,37.0,F,0.0,1,453.6,678.9,598.1,391.4,1.0,660.0
1,,MG,29.0,M,0.0,3,527.4,641.9,612.3,479.9,1.0,560.0
1,1.0,PI,19.0,M,0.0,3,397.5,608.3,560.5,502.1,1.0,340.0
2,1.0,PB,18.0,F,0.0,1,479.4,539.0,553.8,517.3,1.0,620.0
1,,SP,19.0,F,0.0,5,510.7,562.4,505.0,524.0,1.0,560.0
1,1.0,RS,24.0,F,0.0,1,514.7,576.6,512.2,500.7,1.0,540.0
2,1.0,PI,54.0,F,1.0,3,429.8,586.7,450.3,473.3,1.0,300.0
1,,SP,16.0,F,0.0,1,433.9,618.2,635.2,432.3,1.0,500.0
1,1.0,CE,19.0,M,0.0,3,591.1,684.9,611.3,671.5,1.0,580.0
1,1.0,PR,18.0,M,0.0,1,474.5,497.7,476.9,664.7,1.0,340.0
1,1.0,SP,32.0,F,0.0,1,554.6,626.3,560.6,445.8,1.0,620.0
2,1.0,SP,17.0,F,0.0,1,390.0,524.1,492.5,462.0,1.0,500.0
1,1.0,BA,23.0,F,0.0,1,523.0,635.4,616.7,614.4,1.0,660.0
2,1.0,MS,18.0,F,0.0,1,537.7,629.0,601.9,518.6,1.0,800.0
1,1.0,CE,28.0,M,0.0,3,456.3,662.8,550.5,734.3,1.0,800.0
1,1.0,RN,20.0,F,0.0,1,390.5,542.6,446.7,453.8,1.0,580.0
1,1.0,MS,19.0,M,0.0,4,437.8,497.4,464.2,582.2,1.0,360.0
1,1.0,CE,32.0,F,,2,569.7,577.2,544.5,596.0,1.0,540.0
1,1.0,RJ,19.0,F,0.0,3,489.3,601.8,587.8,524.8,1.0,580.0
1,1.0,PE,21.0,M,0.0,3,587.5,633.2,545.4,644.1,1.0,920.0
1,1.0,BA,31.0,F,1.0,2,425.4,618.7,492.6,409.9,1.0,400.0
2,1.0,ES,17.0,M,0.0,2,383.1,456.7,494.0,388.1,1.0,560.0
2,1.0,PE,17.0,F,0.0,3,532.2,603.1,515.6,480.4,1.0,760.0
1,1.0,SP,21.0,M,0.0,1,484.6,636.0,565.5,603.9,1.0,680.0
1,,SP,16.0,F,0.0,3,637.2,674.2,645.7,738.9,1.0,700.0
1,1.0,SE,20.0,M,0.0,3,568.0,654.0,570.0,677.5,1.0,720.0
1,3.0,DF,21.0,F,0.0,3,481.7,574.4,569.0,441.6,1.0,320.0
1,1.0,RN,30.0,F,1.0,1,506.2,590.8,532.8,392.4,1.0,520.0
1,1.0,CE,46.0,M,1.0,3,570.8,611.3,557.1,537.0,1.0,280.0
1,1.0,CE,23.0,M,0.0,3,573.1,692.6,611.1,750.2,1.0,780.0
1,3.0,SC,27.0,F,1.0,1,459.2,632.0,613.7,480.2,1.0,580.0
1,1.0,RS,25.0,F,1.0,1,488.4,596.4,438.5,486.2,1.0,540.0
1,1.0,RO,17.0,F,0.0,1,530.7,589.8,582.0,624.9,1.0,780.0
1,1.0,MA,22.0,F,0.0,1,522.3,660.9,639.9,596.7,1.0,720.0
1,1.0,BA,20.0,F,0.0,3,417.9,501.4,451.4,433.4,1.0,400.0
1,1.0,DF,32.0,F,0.0,3,567.9,617.7,596.5,570.1,1.0,400.0
1,1.0,SP,39.0,F,1.0,3,423.4,436.4,409.7,525.9,1.0,780.0
1,1.0,DF,25.0,F,0.0,3,594.7,635.9,568.3,600.9,1.0,460.0
1,1.0,PE,29.0,M,0.0,2,406.3,447.0,481.6,478.6,1.0,340.0
1,3.0,PA,23.0,F,0.0,3,389.4,448.5,437.9,479.0,1.0,400.0
1,1.0,MT,20.0,F,0.0,1,452.4,472.1,493.7,485.9,1.0,380.0
1,1.0,PR,18.0,F,0.0,1,568.0,619.2,641.1,542.9,1.0,780.0
1,1.0,MS,18.0,F,0.0,3,440.3,540.5,456.5,503.5,1.0,740.0
1,1.0,SP,18.0,F,0.0,1,399.5,590.4,357.7,493.9,1.0,520.0
1,1.0,PR,23.0,F,1.0,1,495.1,619.8,590.6,466.9,1.0,340.0
1,1.0,BA,28.0,M,0.0,3,588.7,678.1,636.1,670.2,1.0,440.0
1,1.0,RO,23.0,M,0.0,3,550.7,672.4,633.0,526.1,1.0,600.0
1,1.0,BA,20.0,F,0.0,2,402.9,478.1,461.6,384.9,1.0,320.0
1,1.0,SE,23.0,M,0.0,3,599.9,672.4,550.4,408.9,1.0,840.0
1,1.0,SP,32.0,F,0.0,3,435.7,626.1,477.5,529.2,1.0,600.0
2,1.0,MG,18.0,F,0.0,3,436.0,474.7,564.6,454.9,1.0,500.0
1,1.0,MA,17.0,M,0.0,3,492.2,659.1,587.2,590.5,1.0,920.0
