jogador,idade,nacionalidade,time,valor,posicao
L. Messi,31,Argentina,FC Barcelona,110.5,RF
Cristiano Ronaldo,33,Portugal,Juventus,77,ST
Neymar Jr,26,Brazil,Paris Saint-Germain,118.5,LW
De Gea,27,Spain,Manchester United,72,GK
K. De Bruyne,27,Belgium,Manchester City,102,RCM
E. Hazard,27,Belgium,Chelsea,93,LF
L. Modrić,32,Croatia,Real Madrid,67,RCM
L. Suárez,31,Uruguay,FC Barcelona,80,RS
Sergio Ramos,32,Spain,Real Madrid,51,RCB
J. Oblak,25,Slovenia,Atlético Madrid,68,GK
R. Lewandowski,29,Poland,FC Bayern München,77,ST
T. Kroos,28,Germany,Real Madrid,76.5,LCM
D. Godín,32,Uruguay,Atlético Madrid,44,CB
David Silva,32,Spain,Manchester City,60,LCM
N. Kanté,27,France,Chelsea,63,LDM
P. Dybala,24,Argentina,Juventus,89,LF
H. Kane,24,England,Tottenham Hotspur,83.5,ST
A. Griezmann,27,France,Atlético Madrid,78,CAM
M. ter Stegen,26,Germany,FC Barcelona,58,GK
T. Courtois,26,Belgium,Real Madrid,53.5,GK
