uf,data,preco_medio,desvio_padrao
DISTRITO FEDERAL,2004-05-09,2.029,0.006999999999999999
GOIAS,2004-05-09,2.025,0.062
MATO GROSSO,2004-05-09,2.358,0.066
MATO GROSSO DO SUL,2004-05-09,2.12,0.075
ALAGOAS,2004-05-09,2.09,0.034
BAHIA,2004-05-09,2.04,0.113
CEARA,2004-05-09,2.148,0.08
MARANHAO,2004-05-09,2.089,0.098
PARAIBA,2004-05-09,1.989,0.073
PERNAMBUCO,2004-05-09,2.008,0.068
PIAUI,2004-05-09,2.099,0.07400000000000001
RIO GRANDE DO NORTE,2004-05-09,1.98,0.042
SERGIPE,2004-05-09,1.968,0.045
ACRE,2004-05-09,2.388,0.166
AMAPA,2004-05-09,2.175,0.05
AMAZONAS,2004-05-09,2.044,0.098
PARA,2004-05-09,2.332,0.136
RONDONIA,2004-05-09,2.336,0.114
RORAIMA,2004-05-09,1.995,0.029
TOCANTINS,2004-05-09,2.089,0.115
ESPIRITO SANTO,2004-05-09,2.026,0.073
MINAS GERAIS,2004-05-09,1.981,0.102
RIO DE JANEIRO,2004-05-09,2.045,0.109
SAO PAULO,2004-05-09,1.891,0.101
PARANA,2004-05-09,1.966,0.07400000000000001
RIO GRANDE DO SUL,2004-05-09,2.135,0.116
SANTA CATARINA,2004-05-09,2.07,0.065
DISTRITO FEDERAL,2004-05-16,2.025,0.019
GOIAS,2004-05-16,2.027,0.058
MATO GROSSO,2004-05-16,2.354,0.069
MATO GROSSO DO SUL,2004-05-16,2.114,0.077
ALAGOAS,2004-05-16,2.089,0.035
BAHIA,2004-05-16,2.045,0.116
CEARA,2004-05-16,2.147,0.08
MARANHAO,2004-05-16,2.07,0.14800000000000002
PARAIBA,2004-05-16,1.987,0.075
PERNAMBUCO,2004-05-16,2.012,0.068
PIAUI,2004-05-16,2.099,0.073
RIO GRANDE DO NORTE,2004-05-16,1.97,0.036000000000000004
SERGIPE,2004-05-16,1.969,0.047
ACRE,2004-05-16,2.438,0.165
AMAPA,2004-05-16,2.235,0.111
AMAZONAS,2004-05-16,2.042,0.104
PARA,2004-05-16,2.329,0.147
RONDONIA,2004-05-16,2.326,0.11
RORAIMA,2004-05-16,1.995,0.029
TOCANTINS,2004-05-16,2.091,0.114
ESPIRITO SANTO,2004-05-16,2.014,0.07400000000000001
MINAS GERAIS,2004-05-16,1.978,0.101
RIO DE JANEIRO,2004-05-16,2.04,0.113
SAO PAULO,2004-05-16,1.888,0.101
PARANA,2004-05-16,1.961,0.079
RIO GRANDE DO SUL,2004-05-16,2.136,0.117
SANTA CATARINA,2004-05-16,2.067,0.065
DISTRITO FEDERAL,2004-05-23,2.024,0.019
GOIAS,2004-05-23,2.028,0.055
MATO GROSSO,2004-05-23,2.36,0.069
MATO GROSSO DO SUL,2004-05-23,2.114,0.077
ALAGOAS,2004-05-23,2.089,0.035
BAHIA,2004-05-23,2.045,0.12
CEARA,2004-05-23,2.147,0.079
MARANHAO,2004-05-23,2.067,0.146
PARAIBA,2004-05-23,1.99,0.069
PERNAMBUCO,2004-05-23,1.967,0.099
PIAUI,2004-05-23,2.099,0.075
RIO GRANDE DO NORTE,2004-05-23,1.969,0.038
SERGIPE,2004-05-23,1.967,0.048
ACRE,2004-05-23,2.438,0.16399999999999998
AMAPA,2004-05-23,2.235,0.111
AMAZONAS,2004-05-23,2.05,0.103
PARA,2004-05-23,2.3280000000000003,0.151
RONDONIA,2004-05-23,2.339,0.115
RORAIMA,2004-05-23,1.995,0.029
TOCANTINS,2004-05-23,2.101,0.114
ESPIRITO SANTO,2004-05-23,2.019,0.07200000000000001
MINAS GERAIS,2004-05-23,1.98,0.099
RIO DE JANEIRO,2004-05-23,2.042,0.108
SAO PAULO,2004-05-23,1.894,0.095
PARANA,2004-05-23,1.963,0.09
RIO GRANDE DO SUL,2004-05-23,2.133,0.122
SANTA CATARINA,2004-05-23,2.065,0.066
DISTRITO FEDERAL,2004-05-30,2.059,0.036000000000000004
GOIAS,2004-05-30,2.033,0.059
MATO GROSSO,2004-05-30,2.365,0.075
MATO GROSSO DO SUL,2004-05-30,2.129,0.087
ALAGOAS,2004-05-30,2.089,0.037000000000000005
BAHIA,2004-05-30,2.044,0.122
CEARA,2004-05-30,2.148,0.08
MARANHAO,2004-05-30,2.075,0.105
PARAIBA,2004-05-30,1.999,0.053
PERNAMBUCO,2004-05-30,1.966,0.121
PIAUI,2004-05-30,2.097,0.07400000000000001
RIO GRANDE DO NORTE,2004-05-30,1.951,0.051
