id,artists,name,release_date,liked
3eJMSq78dDaFb7VvhNFnq6,['Maluma'],ADMV,2020-04-23,Não
5zWcbs5pgRD6HrUf8PZQhW,['Arijit Singh'],Aye Dekhe Jaa,2020-06-08,Não
3Twia4b9HHBkhalt6q7CoF,['Tove Lo'],Habits (Stay High),2020-06-12,Não
57crda5Lx9OVaYCzb4Wrnd,['DaBaby'],CAN'T STOP,2020-04-17,Não
30lZ5IpmpgPhY5sX0kuJOn,"['The Killers', 'Clean Bandit']",Caution - Clean Bandit Remix,2020-06-08,Não
6Fr7f5U4n2Ip5QKNy6IJOf,['BIA'],COVER GIRL,2020-04-03,Não
4sDMiX1n4kfXgJd9nOXGpt,['Lil Baby'],The Bigger Picture,2020-06-12,Não
6VZZHYxhvOnP9hD0Micoz6,['Avicii'],Last Dance - Radio Edit,2020-06-12,Não
3dV1fjKOlLnaNK5MeZHXGv,"['Jameson Rodgers', 'Luke Combs']",Cold Beer Calling My Name,2020-04-14,Não
1mMvahhW2Oz9waG8UTQnI4,"['Galantis', 'Hook N Sling', 'Dotan']",Never Felt A Love Like This (with Hook N Sling) [feat. Dotan],2020-02-07,Não
7ge7BHazYbVKi8qyZUX1Bm,['Lil Baby'],Emotionally Scarred,2020-02-28,Não
25wr96uXxmUFuPQdaRS0HR,['Bastille'],Pompeii,2020-06-12,Sim
7myHieI8mFicl4gaFlo6DS,['Pink Sweat$'],Ride with Me,2020-04-10,Não
7knKANgv1RmBYeGCL26bqi,"['J Balvin', 'Jowell & Randy']",Bonita,2020-06-05,Não
3PfIrDoz19wz7qK7tYeu62,['Dua Lipa'],Don't Start Now,2020-03-27,Sim
3nZ31x1cLcCRnIRpiOIkPU,['Thomasine Robinson'],It is a Beauteous Evening,2020-01-31,Sim
77fvnWALKJR0ws1VUx09CY,"['Jonas Brothers', 'KAROL G']",X (with KAROL G),2020-05-15,Não
44IdNvMSJpOWWTqcExPXef,['Lil Yachty'],Split/Whole Time,2020-05-26,Não
5ftR963YlX88OeCAPnXG2Z,['Kehlani'],Serial Lover,2020-05-08,Não
3OE4VBO845k24R8ZzuMpvj,"['Breaking Benjamin', 'Scooter Ward']",Far Away,2020-01-24,Não
6WI33r2QRxyxttn3KH0XkC,"['Joyner Lucas', 'Will Smith']",Will - Remix,2020-05-15,Não
5Bkw0lMhwk8tF4kMgCCJLv,['Glass Animals'],Dreamland,2020-05-01,Não
4GbZ9vQSgE3lmQ5dcxpKSl,"['Bryce Vine', 'Grady']",Problems (feat. Grady),2020-05-08,Não
2owY4AO2poaINGx54zklF7,['Zoniacs'],Cygnus,2020-01-17,Não
2sGF7DBXvL2GjkbG606m1G,['Niall Horan'],No Judgement,2020-03-13,Não
14GwnOeC9qYEKEA6uOZepa,['Lee Brice'],One Of Them Girls,2020-04-10,Não
76WMWYa1iqRTHZotPuuEuc,['ROSALÍA'],Catalina,2020-06-05,Não
31iu7QBaScWz35mRDeFmI1,['Chloe x Halle'],Busy Boy,2020-06-12,Não
7n3LYEXbAPJIIdYhBN4pzG,['Avicii'],Wake Me Up - Radio Edit,2020-06-12,Não
3DWjFSDEQ9IWz1mj449fB7,['Pop Smoke'],Get Back,2020-02-07,Não
4nRYjMFeJOJQbNC0QDLOkS,"['Lucky Daye', 'Babyface']",Shoulda (feat. Babyface),2020-05-27,Não
2PFEoq7tgZMSqsGjLtAPRx,['Grimass'],Glizzy,2020-05-22,Não
6tfEKQWSonINLZgXEQ9aRK,['6LACK'],ATL Freestyle,2020-05-29,Não
2elEVvWjPZltkotzcCwKvM,"['Kari Jobe', 'Cody Carnes', 'Elevation Worship']",The Blessing - Live,2020-03-20,Não
5RdkyZw1KQ1v0EbquUAsx2,['Hayley Williams'],Dead Horse,2020-05-08,Não
5KlPy74NOEAt8jC3FYURnQ,"['Lil Uzi Vert', 'Syd']",Urgency (feat. Syd),2020-03-06,Não
7j0He3HOaCTWLG7IRQr33p,"['MASN', 'Trippie Redd']",Psycho! (Remix) (feat. Trippie Redd),2020-04-14,Não
2AEtYwT9qg2eY6G9m8wOxW,"['NAV', 'Future']",My Business (feat. Future),2020-05-08,Não
0lSZh5W0wDeurkGzLYY6hf,"['NAV', 'Gunna', 'Travis Scott']",Turks (feat. Travis Scott),2020-03-27,Não
0K5a9PJkMiDXQZ58FY2w9H,"['Moneybagg Yo', 'Lil Baby', 'Rylo Rodriguez']",No Chill (feat. Lil Baby & Rylo Rodriguez),2020-05-15,Não
1uE4PBDSPZ0cT4do1bmT7A,"['Run The Jewels', 'Josh Homme', 'Mavis Staples']",pulling the pin (feat. Mavis Staples & Josh Homme),2020-06-03,Não
3As0OA5B06BxLfADvYyG8L,['CHUNG HA'],Stay Tonight,2020-04-27,Não
4uqh9bualXNHXXwO2wPorc,['Katy Perry'],Daisies,2020-05-15,Sim
1sgDyuLooyvEML4oHspNza,"['Kygo', 'OneRepublic']",Lose Somebody,2020-05-29,Sim
4Y6WTrmqcv8JkwgF3USWnB,['Patrizio Pisani'],Guardami,2020-01-03,Não
6ikDZX0oc8EKGj2vdMAEDv,['OneRepublic'],Didn't I,2020-03-13,Sim
63dg6LdBGxa0QA93M2snLA,"['A Boogie Wit da Hoodie', 'Khalid']",Another Day Gone (feat. Khalid),2020-02-14,Não
1IeXZVBNGJJExnzNmXcLRX,['YoungBoy Never Broke Again'],Ten Talk,2020-04-24,Não
2D0FX6WiP1GKGL3yCdXxs7,['Charlotte Lawrence'],Joke's On You,2020-01-17,Não
4UiaP0wBuy9N9voD91OZOg,['El Fantasma'],Palabra de Hombre,2020-01-09,Não
2SdwRMzLw1vKClRinPqtuU,"['Sebastian Yatra', 'Rauw Alejandro', 'Manuel Turizo', 'Cosculluela', 'Lalo Ebratt', 'Llane', 'Dalmata']",TBT - Remix,2020-04-23,Não
0rohJsT6NWsThpukt0Xxdc,"['Martin Garrix', 'John Martin']",Higher Ground (feat. John Martin),2020-05-14,Não
7KSSdFCBHCfq4KPzz78ghk,"['Lil Baby', 'Gunna']",Heatin Up (feat. Gunna),2020-02-28,Não
1spD4q9pTYPdzzUZn2eZpR,['Lauv'],Sweatpants,2020-06-03,Não
7qRVyZDt1Caftkk8CQlKtk,['Kenny Chesney'],Here And Now,2020-05-01,Não
5mE6FYbQMzpx4CO9wexXW7,"['Wisin & Yandel', 'Anthony Santos']",Noche De Sexo,2020-06-12,Não
5GzgEC6pWf1USZsCtkG8yC,['Elina'],Paper Planes,2020-03-13,Não
21WTCDU55iW0z2kzXq9R8B,"['Fivio Foreign', 'Lil Baby', 'Quavo']",Big Drip (feat. Lil Baby & Quavo) - Remix,2020-03-13,Não
3oF7Or7T35yhQbGxbCGvRX,['Taylor Swift'],Death By A Thousand Cuts - Live From Paris,2020-05-17,Sim
5WFQckzXtuWnkM5OYV7SA5,['Grupo Firme'],Te Hice Mal,2020-06-09,Não
55CHeLEfn5iJ0IIkgaa4si,['Megan Thee Stallion'],Savage,2020-03-06,Não
6XoOA62cqX4CFtfidTIxbj,['Joshua Bassett'],Common Sense,2020-04-03,Não
3Ddny34bFoYBb8dIGq5lwp,"['Lil Tjay', 'Fivio Foreign', 'Pop Smoke']",Zoo York (feat. Fivio Foreign & Pop Smoke),2020-05-08,Não
4bzd4evyqXabRtesx4emPn,"['Kehlani', 'James Blake']",Grieving (feat. James Blake),2020-05-08,Não
6cyH3OGfKQBevSYxJFIUCx,['Anuel AA'],El Problema,2020-05-29,Não
4MpXaXYhkGMw4gt3ZlS7sQ,['Dance Gavin Dance'],One in a Million,2020-04-24,Não
47EWMOElkkbMp5m9SBkx7d,['Alexander 23'],IDK You Yet,2020-04-09,Não
2y4BoHqqK7awqNGS7RgVoo,['Black Eyed Peas'],I Gotta Feeling,2020-06-12,Não
0xDUqQ3gVuhhjZnK9zXHwG,['Megan Thee Stallion'],B.I.T.C.H.,2020-03-06,Não
61Ym6PM14jUTC2CG5lErNY,['Lil Durk'],Different Meaning,2020-05-08,Não
7FIWs0pqAYbP91WWM0vlTQ,"['Eminem', 'Juice WRLD']",Godzilla (feat. Juice WRLD),2020-01-17,Não
5rFGVn8fCFjnRwCebW0XbS,"['DaBaby', 'A Boogie Wit da Hoodie', 'London On Da Track']",DROP (feat. A Boogie wit da Hoodie & London On Da Track),2020-04-17,Não
40qyPyljksBEqlNw5sW37T,['Justin Bieber'],Habitual,2020-02-14,Sim
2K0r5GD5zYlEMx2M7ZMcqG,['OneRepublic'],Better Days,2020-03-25,Sim
6VOq2z5qEUPNFXEz1qACSl,['Apollo Fresh'],JoJo Pose,2020-01-13,Não
2ynqtdm2zE73wuNKjGItwp,"['dvsn', 'Snoh Aalegra']",Between Us (feat. Snoh Aalegra),2020-03-19,Não
6vXJljkoTUWjPXFRfuBbgZ,"['YoungBoy Never Broke Again', 'Sherhonda Gaulden']",Bout My Business (feat. Sherhonda Gaulden),2020-04-24,Não
1WV88Wh4HVWJ6r4YJ3FzU9,['Lil Durk'],248,2020-05-08,Não
1Gz96Ab9xAEcaUTwaFx0ON,['Lil Uzi Vert'],Prices,2020-03-13,Não
2C0hTkdEoikhKzDCJl32QZ,"['Selena Gomez', '6LACK']",Crowded Room (feat. 6LACK),2020-01-10,Sim
5S4knFeCojCoi8X4sMBgFU,['Dua Lipa'],Break My Heart,2020-06-12,Sim
0ofKF8HdQu845qKzRRCjtt,"['Lil Baby', '42 Dugg']",Grace (feat. 42 Dugg),2020-05-01,Não
6O2U51Vmd9Mp6CiPhHFOPo,['Morat'],Enamórate De Alguien Más,2020-06-05,Não
5Yc2A0YtK6PaXT8J1MQ0Rd,"['Olivia Rodrigo', 'Joshua Bassett']","Just for a Moment - From ""High School Musical: The Musical: The Series""",2020-01-01,Não
2DiybJZJGXyV1UYmngo3eq,['645AR'],Yoga,2020-04-03,Não
3jT2LKH0RSbQ8jIUNFzXm5,"['G Herbo', 'Juice WRLD', 'Lil Uzi Vert', 'Chance the Rapper']",PTSD,2020-02-28,Não
5v1STk4ZTTDrhgCs6LD3nd,['Future'],HiTek Tek,2020-05-15,Não
2tGENA8xef0wABdHvyXwv9,"['Lunay', 'Myke Towers', 'Ozuna', 'Chencho Corleone', 'Rauw Alejandro']",La Cama - Remix,2020-03-27,Não
6TkwBmyNs21ihKTi8Bp0eo,"['Wiz Khalifa', 'Logic']",High Today (feat. Logic),2020-04-20,Não
4POHzEwNTCYaIvqCUp3NnO,['5 Seconds of Summer'],Old Me,2020-03-27,Sim
0VKVeWaZtDQGARcDoGlvn7,['Marc Anthony'],Y Hubo Alguien,2020-06-12,Não
6kK3m2FiYERYrUF269y0Es,"['Freddie Gibbs', 'The Alchemist']",Look At Me,2020-05-29,Não
1ENdcyhqdylaLsPVgB83qq,"['Rod Wave', 'ATR Son Son']",Rags2Riches (feat. ATR Son Son),2020-04-03,Não
3Uoy2lrZdhocMWO0jIdjAp,"['Future', 'Meek Mill', 'Doe Boy']",100 Shooters (feat. Meek Mill & Doe Boy),2020-05-15,Não
485RHcQUM5qotAlfutUhwT,['YoungBoy Never Broke Again'],Ain't Easy,2020-04-24,Não
4ylOLt7XCUxq4UTsh08uF4,"['dvsn', 'Ty Dolla $ign', 'Buju Banton']",Dangerous City (feat. Buju Banton),2020-04-10,Não
5eEQCfq7MXQr6aHLNRUZLs,['Anuel AA'],Keii,2020-02-07,Não
4QnC1bIaMSfDQvF4XDhV5M,['Selena Gomez'],Boyfriend,2020-04-09,Sim
3IdPtyJHB1WVPM4eCiCAKM,['ATEEZ'],Answer,2020-01-06,Não
