id,artists,name,release_date,liked
0RI7jCvAWMzkrVq8TMoADu,['Rod Wave'],Roaming,2020-04-03,Sim
7yhpFoOsTTGSdFXNnAzNBD,"['Lalo Ebratt', 'Yera', 'Skinny Happy', 'Trapical']",Te Encantaría,2020-06-12,Não
1kKYjjfNYxE0YYgLa7vgVY,"['Kygo', 'Whitney Houston']",Higher Love,2020-05-29,Sim
0dIz1I7IwX5ardG47AHxCZ,"['A Boogie Wit da Hoodie', 'DaBaby']",Stain (feat. DaBaby),2020-02-14,Não
24uZaMwLQ0G8ZQfTt7f64B,['Florida Georgia Line'],Second Guessing - From Songland,2020-05-22,Sim
5jUvv1aTcNTgTOsAGlJojn,['Lil Uzi Vert'],Homecoming,2020-03-13,Não
0EMD15EVNwDlgGH2CH6ZEL,['NCT DREAM'],Ridin',2020-04-29,Não
25Bc68Ml8xdphCcPdnGLNp,['Jack Johnson'],Better Together,2020-06-12,Sim
2rd4EiTUttYeshOynDXM3Z,"['6ix9ine', 'Nicki Minaj']",TROLLZ - Alternate Edition (with Nicki Minaj),2020-06-16,Não
6P3zImjxzoSLkhRyZm1ETr,"['Luis Fonsi', 'Aleks Syntek', 'Noel Schajris', 'David Bisbal']",Aqui Estoy Yo,2020-06-12,Não
3TciLI5wo7RddPtAFhiU9V,['Polo G'],Don't Believe The Hype,2020-05-15,Sim
0rhgOpSJgUEDDJ6rQE4ElW,['Kevin Gates'],Grandmotha Grave,2020-05-27,Sim
2qG81jL9UIP54uS8gYyP4k,"['Lauv', 'BTS']",Who (feat. BTS),2020-03-06,Não
2zimS2mTANwlM34KEOebYC,"['Quando Rondo', 'Polo G']",Marvelous (feat. Polo G),2020-01-10,Sim
4Aykm3xrOFSHrAnv80KUhh,"['DaBaby', 'Roddy Ricch']",ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,2020-06-12,Sim
7IN4uBTZZK2KJ4tjBL44xU,['Tenille Townes'],Holding Out for the One,2020-02-07,Não
4PklAHGXT5ityno3IA8SKd,"['Polo G', 'Stunna 4 Vegas', 'NLE Choppa', 'Mike WiLL Made-It']",Go Stupid,2020-05-15,Sim
68UU9oaQtMDnh6PRlW842H,['Princess Nokia'],I Like Him,2020-02-26,Não
4eRclKjJzvw0xWG8XwstCT,['Adam Doleac'],Neon Fools,2020-04-17,Não
4UJh06QJDNv1yJNfakvzUR,['J Balvin'],Sigo Extrañándote,2020-06-05,Sim
7vELAwkC04g6YjGtgZi3gq,['Robert Farrugia'],Segments,2020-01-20,Não
5yY9lUy8nbvjM1Uyo1Uqoc,"['Future', 'Drake']",Life Is Good (feat. Drake),2020-01-10,Sim
34d7sGX6WUqq8f04e7CSNF,['Eminem'],Marsh,2020-01-17,Sim
4yKC4OVtG5Z9nIX98r7SQp,"['Joan Sebastian', 'Calibre 50']",Que Sea,2020-02-28,Sim
2qI0Uchpdc2RkzuhbRnnZ8,['TOMORROW X TOGETHER'],Can't You See Me?,2020-05-18,Não
1OuN92HcVG6NVpWbeESNB3,['Mac Miller'],Everybody,2020-01-17,Sim
3tDIjnh6wdwMWDHRHF97XC,['Run The Jewels'],goonies vs. E.T.,2020-06-03,Não
7KKh0ujp8agIiCrkiJhf81,"['Anuel AA', 'Tego Calderon']",Jangueo,2020-05-29,Sim
58jecLK0epwMLr9cy5vFUy,"['Gryffin', 'Chris Lane']",Hold You Tonight (with Chris Lane),2020-04-07,Sim
2tDrlnQWiCDis4H8RT0W2h,"['KYLE', 'K CAMP', 'Rich The Kid']",YES! (feat. Rich The Kid & K CAMP),2020-02-21,Não
7l97ElWmIdVHWUaOeeU5ZC,['Tate McRae'],that way,2020-01-24,Não
2Mfv5HaqnI18Q9JRv9hqnn,['Halsey'],Still Learning,2020-01-17,Sim
6n0rhPWs1KpjnFg3WQRNZn,"['Loud Luxury', 'Morgan St. Jean']",Aftertaste,2020-03-27,Não
0q2vG0UVuy6ajjcpkQHdZM,"['Eminem', 'Young M.A']",Unaccommodating (feat. Young M.A),2020-01-17,Não
485RHcQUM5qotAlfutUhwT,['YoungBoy Never Broke Again'],Ain't Easy,2020-04-24,Sim
55kuHkT2CWhWKF6CoRDnJq,['Apink'],Dumhdurum,2020-04-13,Sim
6FIdoCh2P4W8OAfch99R1G,['Dean Lewis'],Stay Awake,2020-06-12,Sim
5XqCz18k96K8tx6DAYM97i,"['Bad Bunny', 'Don Omar']",PA' ROMPERLA,2020-05-10,Não
5rFGVn8fCFjnRwCebW0XbS,"['DaBaby', 'A Boogie Wit da Hoodie', 'London On Da Track']",DROP (feat. A Boogie wit da Hoodie & London On Da Track),2020-04-17,Sim
1NGPZKzplieiPc5g6lAJ49,['Arlo Parks'],Black Dog,2020-05-04,Não
7tBQ0cu9KjCFsaRf7TNbtp,"['Lauv', 'Troye Sivan']",i'm so tired...,2020-06-03,Sim
44IdNvMSJpOWWTqcExPXef,['Lil Yachty'],Split/Whole Time,2020-05-26,Sim
5kLMdUTCdzBSeN8EDlkbpn,['Miranda Lambert'],Bluebird - Acoustic,2020-06-12,Não
6Kj17Afjo1OKJYpf5VzCeo,"['Drake', 'Playboi Carti']",Pain 1993 (with Playboi Carti),2020-05-01,Não
38HkYfvnhHLLB5Yaj2VpZg,['Don Toliver'],No Photos,2020-03-13,Sim
5dVKYrPpo8d5AgUGRKMBLp,['jxdn'],Comatose,2020-05-11,Não
4rPkN1FMzQyFNP9cLUGIIB,['Dua Lipa'],Love Again,2020-03-27,Não
0rohJsT6NWsThpukt0Xxdc,"['Martin Garrix', 'John Martin']",Higher Ground (feat. John Martin),2020-05-14,Sim
6iZVQLI9gs9kFRnmbQLzHO,['Porter Robinson'],Something Comforting,2020-03-10,Sim
4ticY1NEauYaMGosBnvCLE,"['GRACEY', 'Ruel']",Empty Love (ft. Ruel),2020-05-22,Sim
2p72O2JobPc9sVz520Hil5,['Swae Lee'],Reality Check,2020-06-18,Sim
2Fm8QdRzWXWjscoOqXvffN,"['Lil Baby', 'Gunna']",Heatin Up (feat. Gunna),2020-05-01,Não
7C1trmcQQ5n5RNy4l6ziCv,"['Nea', 'Felix Jaehn']",Some Say - Felix Jaehn Remix,2020-01-10,Sim
6eXFl418w8hsxKcLgv1jwJ,"['Diplo', 'Jonas Brothers']",Lonely (with Jonas Brothers),2020-05-27,Não
047WmwIeerHyIUstFAEz5A,"['El Alfa', 'Lil Pump', 'Sech', 'Myke Towers', 'Vin Diesel']",Coronao Now (Remix),2020-02-12,Sim
0uLPKDuIhkIhttiwezNdiG,['Alec Benjamin'],Jesus In LA,2020-05-29,Sim
6XXYdF6pJR1K3wKvuxmu7n,['Selena Gomez'],Feel Me,2020-02-21,Não
5kqNIqFjijuzvVLhuY9B8j,['Bad Bunny'],La Zona,2020-02-28,Não
4RUTQCJpaKCDJKGp6N6MDk,['Natanael Cano'],Nubes Blancas,2020-06-12,Sim
2yUy5eFAFWAichjrySJWA2,"['Jhené Aiko', 'Future', 'Miguel']",Happiness Over Everything (H.O.E.) (feat. Future & Miguel),2020-03-06,Não
0LEFmgIj8ABU7CelzGh5Bs,"['Lil Yachty', 'DaBaby', 'Drake']",Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),2020-05-29,Sim
2u3EyuCqqV31woqGvO9LBz,['Lil Baby'],Sum 2 Prove,2020-01-10,Não
34TAFsrcHSBvLxhXZMBRSF,"['Wiz Khalifa', 'Megan Thee Stallion', 'Mustard', 'Ty Dolla $ign']","Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & Mustard)",2020-04-20,Não
7Fos4vYGRc7HYzzrKCEzAE,['Lil Baby'],"Catch The Sun - From ""Queen & Slim: The Soundtrack""",2020-02-28,Sim
4gSDxQlfUK936JoKJ1UHvK,"['Trey Songz', 'Summer Walker']",Back Home (feat. Summer Walker),2020-06-05,Sim
6eluAsb2ONjZ6tXFp062LZ,"['Stunna 4 Vegas', 'DaBaby', 'Lil Baby']",DO DAT (feat. DaBaby & Lil Baby),2020-01-17,Não
3PfIrDoz19wz7qK7tYeu62,['Dua Lipa'],Don't Start Now,2020-03-27,Sim
0a4kXlqLISIf5PSiyp0Zmp,['Lil Uzi Vert'],Celebration Station,2020-03-13,Sim
3Mf5CJ4c9wzdCI5Dib3V3B,['Lil Peep'],driveway,2020-06-10,Não
2moHnkHTSXBe9KjvPSQJvg,['Hayley Williams'],Simmer,2020-05-08,Não
2nMOodYNHBAQ3Kc1QNimZU,['Dua Lipa'],Cool,2020-03-27,Não
5YEAvnL3klXUE7etBXvMlp,['YoungBoy Never Broke Again'],RIP Lil Phat,2020-02-21,Sim
6Xa2Y4EP6wossxPv1kUy2c,['Phoebe Bridgers'],I See You,2020-05-19,Sim
5bmSver2b3ZXyuyLKtgnFI,"['Bad Bunny', 'Nicky Jam']",BAD CON NICKY,2020-05-10,Sim
5Bkw0lMhwk8tF4kMgCCJLv,['Glass Animals'],Dreamland,2020-05-01,Sim
7JSL1X95BlGnDyXAScKolp,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",THE SCOTTS,2020-04-23,Sim
5GXuUITCCWAG4h8ABnQ8ve,['Chloe x Halle'],Tipsy,2020-06-12,Sim
52lGuLAkIVbm4LZkSf9nj0,['Sam Hunt'],Kinfolks,2020-04-03,Sim
2v08cjj3Th8RpfJgluECcj,['Kenny Chesney'],Happy Does,2020-05-01,Não
1gB2IbSdMot7wOTbizuBuN,['HAIM'],Don’t Wanna,2020-05-21,Sim
7fNxx7QvMQhdqLZKm4sEq3,['Lauv'],Believed,2020-06-11,Não
7gVwgc8b3XnO87TpmXXFA5,"['The Kid LAROI', 'Lil Tecca']",Diva (feat. Lil Tecca),2020-01-31,Não
5ftR963YlX88OeCAPnXG2Z,['Kehlani'],Serial Lover,2020-05-08,Não
5WmLocvy1epLtv6ym8Rilh,['Lorde'],Royals,2020-06-12,Sim
31bmr5SE0qrrIPhjGbnwKP,['The Weeknd'],After Hours,2020-04-03,Não
127QTOFJsJQp5LbJbu3A1y,['Drake'],Toosie Slide,2020-04-03,Não
5xROgo35i9a9IbQgN56Clz,"['Lennon Stella', 'JP Saxe']",Golf On TV feat. JP Saxe,2020-02-14,Não
1xQ6trAsedVPCdbtDAmk0c,"['Jawsh 685', 'Jason Derulo']",Savage Love (Laxed - Siren Beat),2020-06-11,Não
3rAyQ7qZIPYh53V2YarkUq,['Lil Yachty'],From Down Bad,2020-05-29,Não
6jGyDvL1Rf4XfwTb25o1HN,['BRELAND'],My Truck,2020-05-22,Não
5qJF3xMbNjsPuqQDRkfUl1,"['Agust D', 'Kim Jong Wan']",Dear my friend (feat. Kim Jong Wan of NELL),2020-05-22,Sim
6rhbL6MhAej39S8KupwjrC,['The Weeknd'],Final Lullaby - Bonus Track,2020-04-03,Sim
5XJciZ5Bj0IjPrcnNU7gvB,['Lil Baby'],Get Ugly,2020-05-01,Não
7wsmIIm0xWmtP7TmACXkJn,"['Lil Yachty', 'DaBaby', 'Drake']",Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),2020-03-09,Sim
5RsKelNxucrDxgMbZ3vd3W,['Bazzi'],Young & Alive,2020-03-05,Sim
4BGZF4oLbTL0pWm7C18pbv,['The Weeknd'],Scared To Live,2020-03-20,Não
2vuIvaMhGOFI6f1G1sTMye,['Lil Durk'],Viral Moment,2020-04-27,Sim
0oH0OIeKJSAT5bdFkbz20A,"['Lil Skies', 'Lil Durk']",Havin My Way (feat. Lil Durk),2020-03-04,Sim
30AW1wD8qK1Bqw3Z44xs3f,"['Mozzy', 'King Von', 'G Herbo']",Body Count (feat. King Von & G Herbo),2020-05-01,Não
2hDe0Ls5mVqs1XJqv7sbcM,"['Anuel AA', 'Enrique Iglesias']",Fútbol & Rumba (feat. Enrique Iglesias),2020-05-29,Não
