id,artists,name,release_date,liked
3dVvWnj4D8JGkKvo6Hucso,"['6ix9ine', 'Nicki Minaj']",TROLLZ (with Nicki Minaj),2020-06-12,Sim
4h7qcXBtaOJnmrapxoWxGf,"['Joyner Lucas', 'Logic']",Isis (feat. Logic),2020-03-27,Sim
4nFuqXDK9UFHxa2Mi8Wvb8,['Becky Hill'],Losing - Joe Goddard Remix,2020-06-08,Não
51jXR7Q77D5y5StEGjNyn0,['JayDaYoungan'],Draco,2020-06-05,Não
6heRfvHrUIIPx9TqRg8SCq,['Lil Baby'],Humble,2020-05-01,Não
1EjzcBTVLV7ATtdsQwyV31,['Run The Jewels'],yankee and the brave (ep. 4),2020-06-03,Não
5SiZJoLXp3WOl3J4C8IK0d,['Eminem'],Darkness,2020-01-17,Sim
2OtZFVcdzCMOx62dbrxf0e,['Los Elegantes de Jerez'],Tú,2020-02-24,Não
431M98gFekRc9HdNfgWc7N,['Kane Brown'],Worldwide Beautiful,2020-06-04,Sim
2ufmtcIFdFpuUYBPXK5f67,['Halsey'],Graveyard,2020-01-17,Não
1NjQZi2ajwmJsfnimLr41I,['Alina Baraz'],More Than Enough,2020-03-26,Não
2NSCi7JG99IZgJPAk0T74G,['G-Eazy'],Free Porn Cheap Drugs,2020-05-22,Sim
1NzRZ7AosK7ZDumMsZYofo,['Audrey Mika'],Just Friends,2020-05-08,Sim
3FHLkTWV2QvC8J0YhX4muT,['Tones And I'],Never Seen The Rain,2020-02-21,Sim
6caS9LrdquWAfGeAmjqt1t,['TWICE'],MAKE ME GO,2020-06-01,Não
5DYD4zlGiFlkpLaf2Bk8Vl,['Glass Animals'],Your Love (Déjà Vu),2020-02-19,Não
7yT4hFhyGmswCEBLZeat9P,['Alessia Cara'],River Of Tears,2020-06-12,Não
68j5DYmCikBzcp60Sv6xWO,"['Jacob Collier', 'Mahalia', 'Ty Dolla $ign']",All I Need (with Mahalia & Ty Dolla $ign),2020-05-14,Não
6bnVMdZObpNPUJ0vVFzkGn,"['Jax Jones', 'Ina Wroldsen']",Breathe,2020-06-12,Não
3tDIjnh6wdwMWDHRHF97XC,['Run The Jewels'],goonies vs. E.T.,2020-06-03,Não
